code;name;;en_name;de_desc;de_link;en_desc;en_link;de_syn;en_syn
GHZLAND-440;Litauen;;;;;;;;
GHZLAND-442;Luxemburg;;;;;;;;
GHZLAND-446;Macao;;;;;;;;
GHZLAND-450;Madagaskar;;;;;;;;
GHZLAND-454;Malawi;;;;;;;;
GHZLAND-458;Malaysia;;;;;;;;
GHZLAND-462;Malediven;;;;;;;;
GHZLAND-466;Mali;;;;;;;;
GHZLAND-470;Malta;;;;;;;;
GHZLAND-474;Martinique;;;;;;;;
GHZLAND-478;Mauretanien;;;;;;;;
GHZLAND-480;Mauritius;;;;;;;;
GHZLAND-484;Mexiko;;;;;;;;
GHZLAND-492;Monaco;;;;;;;;
GHZLAND-496;Mongolei;;;;;;;;
GHZLAND-498;Moldau;;;;;;;;
GHZLAND-499;Montenegro;;;;;;;;
GHZLAND-500;Montserrat;;;;;;;;
GHZLAND-504;Marokko;;;;;;;;
GHZLAND-508;Mosambik;;;;;;;;
GHZLAND-512;Oman;;;;;;;;
GHZLAND-516;Namibia;;;;;;;;
GHZLAND-520;Nauru;;;;;;;;
GHZLAND-524;Nepal;;;;;;;;
GHZLAND-528;Niederlande;;;;;;;;
GHZLAND-530;Niederländische Antillen;;;;;;;;
GHZLAND-533;Aruba;;;;;;;;
GHZLAND-540;Neukaledonien;;;;;;;;
GHZLAND-548;Vanuatu;;;;;;;;
GHZLAND-554;Neuseeland;;;;;;;;
GHZLAND-558;Nicaragua;;;;;;;;
GHZLAND-562;Niger;;;;;;;;
GHZLAND-566;Nigeria;;;;;;;;
GHZLAND-570;Niue;;;;;;;;
GHZLAND-574;Norfolkinseln;;;;;;;;
GHZLAND-578;Norwegen;;;;;;;;
GHZLAND-580;Nördliche Marianen;;;;;;;;
GHZLAND-581;Amerikanische Überseeinseln;;;;;;;;
GHZLAND-583;Mikronesien - Föderierte Staaten von;;;;;;;;
GHZLAND-584;Marshallinseln;;;;;;;;
GHZLAND-585;Palau;;;;;;;;
GHZLAND-586;Pakistan;;;;;;;;
GHZLAND-591;Panama;;;;;;;;
GHZLAND-598;Papua-Neuguinea;;;;;;;;
GHZLAND-600;Paraguay;;;;;;;;
GHZLAND-604;Peru;;;;;;;;
GHZLAND-608;Philippinen;;;;;;;;
GHZLAND-612;Pitcairninseln;;;;;;;;
GHZLAND-616;Polen;;;;;;;;
GHZLAND-620;Portugal;;;;;;;;
GHZLAND-624;Guinea-Bissau;;;;;;;;
GHZLAND-626;Timor-Leste;;;;;;;;
GHZLAND-630;Puerto Rico;;;;;;;;
GHZLAND-634;Katar;;;;;;;;
GHZLAND-638;Réunion;;;;;;;;
GHZLAND-642;Rumänien;;;;;;;;
GHZLAND-643;Russische Föderation;;;;;;;;
GHZLAND-646;Ruanda;;;;;;;;
GHZLAND-652;Sankt Bartholome;;;;;;;;
GHZLAND-654;St. Helena;;;;;;;;
GHZLAND-659;St. Kitts und Nevis;;;;;;;;
GHZLAND-660;Anguilla;;;;;;;;
GHZLAND-662;St. Lucia;;;;;;;;
GHZLAND-663;Sankt Martin (franz.);;;;;;;;
GHZLAND-666;St. Pierre und Miquelon;;;;;;;;
GHZLAND-670;St. Vincent und die Grenadinen;;;;;;;;
GHZLAND-674;San Marino;;;;;;;;
GHZLAND-678;São Tomé und Príncipe;;;;;;;;
GHZLAND-682;Saudi-Arabien;;;;;;;;
GHZLAND-686;Senegal;;;;;;;;
GHZLAND-688;Serbien;;;;;;;;
GHZLAND-690;Seychellen;;;;;;;;
GHZLAND-694;Sierra Leone;;;;;;;;
GHZLAND-702;Singapur;;;;;;;;
GHZLAND-703;Slowakei;;;;;;;;
GHZLAND-704;Vietnam;;;;;;;;
GHZLAND-705;Slowenien;;;;;;;;
GHZLAND-706;Somalia;;;;;;;;
GHZLAND-710;Südafrika;;;;;;;;
GHZLAND-716;Simbabwe;;;;;;;;
GHZLAND-720;Demokratischer Jemen;;;;;;;;
GHZLAND-724;Spanien;;;;;;;;
GHZLAND-728;Südsudan;;;;;;;;
GHZLAND-729;Sudan;;;;;;;;
GHZLAND-732;Westsahara;;;;;;;;
GHZLAND-736;Sudan;;;;;;;;
GHZLAND-740;Suriname;;;;;;;;
GHZLAND-744;Svalbard und Jan Mayen;;;;;;;;
GHZLAND-748;Swasiland;;;;;;;;
GHZLAND-752;Schweden;;;;;;;;
GHZLAND-756;Schweiz;;;;;;;;
GHZLAND-760;Syrien - Arabische Republik;;;;;;;;
GHZLAND-762;Tadschikistan;;;;;;;;
GHZLAND-764;Thailand;;;;;;;;
GHZLAND-768;Togo;;;;;;;;
GHZLAND-772;Tokelau;;;;;;;;
GHZLAND-776;Tonga;;;;;;;;
GHZLAND-780;Trinidad und Tobago;;;;;;;;
GHZLAND-784;Vereinigte Arabische Emirate;;;;;;;;
GHZLAND-788;Tunesien;;;;;;;;
GHZLAND-792;Türkei;;;;;;;;
GHZLAND-795;Turkmenistan;;;;;;;;
GHZLAND-796;Turks- und Caicosinseln;;;;;;;;
GHZLAND-798;Tuvalu;;;;;;;;
GHZLAND-800;Uganda;;;;;;;;
GHZLAND-804;Ukraine;;;;;;;;
GHZLAND-807;Nordmazedonien;;;;;;;;
GHZLAND-810;Sowjetunion;;;;;;;;
GHZLAND-818;Ägypten;;;;;;;;
GHZLAND-826;Vereinigtes Königreich;;;;;;;;
GHZLAND-830;Kanalinseln;;;;;;;;
GHZLAND-831;Alderney;;;;;;;;
GHZLAND-832;Jersey;;;;;;;;
GHZLAND-833;Man;;;;;;;;
GHZLAND-834;Tansania - Vereinigte Republik;;;;;;;;
GHZLAND-840;Vereinigte Staaten;;;;;;;;
GHZLAND-850;Amerikanische Jungferninseln;;;;;;;;
GHZLAND-854;Burkina Faso;;;;;;;;
GHZLAND-858;Uruguay;;;;;;;;
GHZLAND-860;Usbekistan;;;;;;;;
GHZLAND-862;Venezuela;;;;;;;;
GHZLAND-876;Wallis und Futuna;;;;;;;;
GHZLAND-882;Samoa;;;;;;;;
GHZLAND-886;Jemen (Nordjemen);;;;;;;;
GHZLAND-887;Jemen;;;;;;;;
GHZLAND-890;Jugoslawien;;;;;;;;
GHZLAND-891;Serbien und Montenegro;;;;;;;;
GHZLAND-894;Sambia;;;;;;;;
GHZLAND-901;Staatenlos;;;;;;;;
GHZLAND-924;unbekannt;;;;;;;;
GHZLAND-926;ungeklärt;;;;;;;;
GHZLAND-927;Kosovo;;;;;;;;
